clustera,wt.1mm.fpkm,wt.2mm.fpkm,tip.IM/SPM.ear.fpkm,mid.SM.ear.fpkm,base.FM.ear.fpkm,stg1.tassel.fpkm,stg2.tassel.fpkm,stg3.tassel.fpkm
1,16.6167,18.9829,21.8211,12.6011,12.7309,9.7932,6.0775,7.0946
1,3.5937,3.8214,6.1798,1.2436,1.048,2.2995,1.2021,0.7202
1,2.4862,3.4475,3.3428,1.9676,1.6534,3.2107,0.9568,2.1411
1,37.3829,47.7292,47.4748,24.6018,26.4435,38.0419,27.2051,27.5778
1,390.181,502.0587,457.569,217.066,196.268,362.463,248.015,384.543
1,4.1003,3.5799,4.7707,2.6467,2.2934,2.599,0.9759,2.2807
1,39.2083,46.4764,65.5679,42.3969,39.853,24.6898,22.1691,19.1407
1,3.0592,10.9084,9.4303,3.969,6.314,6.4761,3.5416,2.2152
1,46.9828,63.3492,55.2384,26.5756,30.6103,39.1817,27.166,32.8116
1,75.0655,95.6795,148.372,59.8104,54.9344,53.2532,34.71,45.4099
1,20.9852,38.6321,55.0348,19.5733,21.6431,19.6678,17.3925,13.0892
1,7.4616,9.5599,8.3538,5.2624,6.7337,5.2361,6.8938,5.0974
1,17.2091,23.557,29.5016,15.8596,18.495,14.8954,9.3757,11.2346
1,2.404,2.1602,2.1018,1.3231,1.2961,1.1775,1.1467,0.645
1,5.8262,7.4878,11.2773,5.0191,4.4391,6.3734,4.9061,3.8103
1,1053.64,1320.26,1555.02,796.624,852.327,1197.18,853.271,623.34
1,1.9259,1.9418,1.6287,1.3879,1.3258,0.778,0.5211,1.0416
1,1.3352,1.8079,1.5812,0.617,0.9896,0.8447,0.7654,0.8465
1,31.5783,36.8073,51.1554,28.2558,30.6455,28.0719,21.5088,32.1974
1,9.0143,10.5757,10.5937,5.4616,5.7365,6.6643,5.4594,5.0317
1,324.8453,484.723,591.773,174.41,176.286,159.709,131,107.25
1,1.5502,1.361,2.2508,1.0358,0.9881,1.3714,0.8006,0.8672
1,45.9564,69.6994,61.1472,40.8986,36.1078,42.1239,28.0565,29.7177
1,2.3925,2.3965,2.1822,1.2355,1.274,0.9518,0.5117,1.1114
1,57.9361,66.2199,83.7266,39.1199,43.3619,33.3265,24.065,26.1209
1,15.4923,17.3877,14.5737,8.9744,9.2456,8.5443,5.8812,6.4237
1,4.7652,3.5575,7.4833,2.5801,2.7219,3.5037,2.6426,2.5383
1,14.7815,16.9327,22.6642,13.7671,16.2434,11.1987,9.3263,13.5079
1,5.3767,4.6088,8.4952,0.2793,0,2.5726,1.5485,0.8844
1,117.5957,108.1923,141.77,82.583,85.659,73.501,54.3455,52.5902
1,2.2054,3.2471,4.4492,1.5847,0.6374,1.3986,1.3029,1.8612
1,10.1544,12.4491,24.1565,4.9962,2.8567,11.3878,5.5602,5.9874
1,65.2904,72.6642,79.8697,64.5317,67.6703,63.1446,46.6395,29.6635
1,8.7091,10.8583,11.9083,5.8264,6.6473,7.0704,4.9878,6.4067
1,12.1825,17.0552,18.639,11.8018,13.1094,13.6634,14.0081,9.3184
1,21.9897,39.464,45.3898,25.0581,24.7646,34.9325,23.2895,24.3064
1,24.452,26.983,29.9202,21.071,26.4128,22.1465,13.6917,21.4782
1,10.4671,14.5883,15.9918,9.0792,11.032,12.5923,11.5675,11.1717
1,0.2741,0.3188,0.2754,0.1883,0.1514,0.0633,0.0632,0.0896
1,1.1226,2.2548,1.6255,1.0081,0.882,1.3158,0.7682,1.3493
1,38.0937,54.3874,46.4317,26.1649,29.7142,32.4388,25.4347,28.1441
